session,material,nozzle_mm,pressure_bar,mix_ratio_pct,sensor,filepath
v24,G80,8.0,3.0,0,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_0_AccAxial4507.wav
v24,G80,8.0,3.0,0,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_0_AccRadial4507.wav
v24,G80,8.0,3.0,0,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_0_Mic147EB.wav
v24,G80,8.0,3.0,0,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_0_Mic46BE.wav
v24,G80,8.0,3.0,100,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_100_AccAxial4507.wav
v24,G80,8.0,3.0,100,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_100_AccRadial4507.wav
v24,G80,8.0,3.0,100,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_100_Mic147EB.wav
v24,G80,8.0,3.0,100,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_100_Mic46BE.wav
v24,G80,8.0,3.0,30,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_30_AccAxial4507.wav
v24,G80,8.0,3.0,30,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_30_AccRadial4507.wav
v24,G80,8.0,3.0,30,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_30_Mic147EB.wav
v24,G80,8.0,3.0,30,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_30_Mic46BE.wav
v24,G80,8.0,3.0,40,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_40_AccAxial4507.wav
v24,G80,8.0,3.0,40,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_40_AccRadial4507.wav
v24,G80,8.0,3.0,40,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_40_Mic147EB.wav
v24,G80,8.0,3.0,40,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_40_Mic46BE.wav
v24,G80,8.0,3.0,50,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_50_AccAxial4507.wav
v24,G80,8.0,3.0,50,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_50_AccRadial4507.wav
v24,G80,8.0,3.0,50,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_50_Mic147EB.wav
v24,G80,8.0,3.0,50,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_50_Mic46BE.wav
v24,G80,8.0,3.0,60,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_60_AccAxial4507.wav
v24,G80,8.0,3.0,60,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_60_AccRadial4507.wav
v24,G80,8.0,3.0,60,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_60_Mic147EB.wav
v24,G80,8.0,3.0,60,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_60_Mic46BE.wav
v24,G80,8.0,3.0,70,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_70_AccAxial4507.wav
v24,G80,8.0,3.0,70,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_70_AccRadial4507.wav
v24,G80,8.0,3.0,70,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_70_Mic147EB.wav
v24,G80,8.0,3.0,70,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_3_70_Mic46BE.wav
v24,G80,8.0,4.0,0,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_0_AccAxial4507.wav
v24,G80,8.0,4.0,0,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_0_AccRadial4507.wav
v24,G80,8.0,4.0,0,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_0_Mic147EB.wav
v24,G80,8.0,4.0,0,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_0_Mic46BE.wav
v24,G80,8.0,4.0,100,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_100_AccAxial4507.wav
v24,G80,8.0,4.0,100,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_100_AccRadial4507.wav
v24,G80,8.0,4.0,100,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_100_Mic147EB.wav
v24,G80,8.0,4.0,100,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_100_Mic46BE.wav
v24,G80,8.0,4.0,30,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_30_AccAxial4507.wav
v24,G80,8.0,4.0,30,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_30_AccRadial4507.wav
v24,G80,8.0,4.0,30,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_30_Mic147EB.wav
v24,G80,8.0,4.0,30,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_30_Mic46BE.wav
v24,G80,8.0,4.0,40,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_40_AccAxial4507.wav
v24,G80,8.0,4.0,40,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_40_AccRadial4507.wav
v24,G80,8.0,4.0,40,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_40_Mic147EB.wav
v24,G80,8.0,4.0,40,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_40_Mic46BE.wav
v24,G80,8.0,4.0,50,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_50_AccAxial4507.wav
v24,G80,8.0,4.0,50,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_50_AccRadial4507.wav
v24,G80,8.0,4.0,50,Mic147EB,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_50_Mic147EB.wav
v24,G80,8.0,4.0,50,Mic46BE,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_50_Mic46BE.wav
v24,G80,8.0,4.0,60,AccAxial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_60_AccAxial4507.wav
v24,G80,8.0,4.0,60,AccRadial4507,D:\IAESTE\iaeste26-blasting-sound-main\data\v24\WAV\G80_8_4_60_AccRadial4507.wav
