filename,sensor,filter_type,order,band_idx,band_label,rms,peak,crest_factor,zcr,band_power,spectral_centroid
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,0,176–225 Hz,0.000112,0.002443,13.607031,203.32741,0.0,202.940401
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,1,225–283 Hz,0.000135,0.002619,14.03089,251.319797,0.0,250.305947
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,2,283–353 Hz,0.000105,0.00216,13.342615,316.191942,0.0,317.726027
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,3,353–440 Hz,0.00012,0.002317,12.419466,394.545394,0.0,392.045341
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,4,440–565 Hz,0.000139,0.002606,13.21099,502.08178,0.0,498.965838
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,5,565–707 Hz,0.000146,0.002383,12.5006,629.872937,0.0,628.837047
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,6,707–880 Hz,0.000192,0.002177,10.091438,786.961092,0.0,785.098866
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,7,880–1130 Hz,0.00039,0.002678,7.994252,1029.779291,0.0,1026.497431
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,8,1130–1414 Hz,0.000354,0.002625,7.640282,1240.292668,0.0,1238.006076
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,9,1414–1760 Hz,0.000706,0.004114,7.045644,1602.316051,1e-06,1600.65205
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,10,1760–2220 Hz,0.000779,0.004317,6.559976,1976.062921,1e-06,1970.984032
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,11,10–1000 Hz,0.001262,0.029245,15.414111,343.662369,1e-06,224.153413
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,12,10–2000 Hz,0.001689,0.038147,14.734291,690.493502,2e-06,542.014515
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,13,500–1500 Hz,0.000688,0.00921,12.248198,953.375847,1e-06,911.591254
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,14,1000–2000 Hz,0.000945,0.00826,8.904467,1555.486169,2e-06,1545.080952
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,0,176–225 Hz,0.000102,0.002066,12.387411,201.978967,0.0,201.588437
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,1,225–283 Hz,0.000125,0.002256,12.828994,251.494798,0.0,250.841122
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,2,283–353 Hz,9.6e-05,0.001835,12.559199,315.959129,0.0,317.478791
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,3,353–440 Hz,0.000109,0.001952,11.44528,394.378206,0.0,391.935466
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,4,440–565 Hz,0.000127,0.00216,12.135285,500.95365,0.0,498.328686
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,5,565–707 Hz,0.000134,0.001902,11.257665,630.219813,0.0,628.977348
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,6,707–880 Hz,0.000177,0.00178,9.237726,787.604844,0.0,785.717885
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,7,880–1130 Hz,0.000355,0.002382,7.941073,1017.812053,0.0,1015.71208
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,8,1130–1414 Hz,0.00032,0.002418,7.647853,1243.514556,0.0,1242.012037
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,9,1414–1760 Hz,0.000666,0.003788,6.814466,1595.361335,1e-06,1593.521615
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,10,1760–2220 Hz,0.000733,0.003863,6.261403,1981.361381,1e-06,1977.688075
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,11,10–1000 Hz,0.00117,0.028401,15.924305,277.787095,1e-06,176.095662
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,12,10–2000 Hz,0.001522,0.036145,15.107269,598.324368,2e-06,454.540603
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,13,500–1500 Hz,0.000627,0.00826,12.238822,924.535102,1e-06,892.764956
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,14,1000–2000 Hz,0.000842,0.007402,8.908091,1532.193884,2e-06,1524.867861
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,0,176–225 Hz,9.1e-05,0.001688,11.756412,201.347714,0.0,200.907668
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,1,225–283 Hz,0.000114,0.001909,12.155042,251.821362,0.0,251.064128
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,2,283–353 Hz,8.8e-05,0.001572,11.833717,315.943504,0.0,317.249597
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,3,353–440 Hz,0.000102,0.001775,10.965733,394.23758,0.0,392.00406
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,4,440–565 Hz,0.000121,0.002012,11.72578,500.534898,0.0,498.136648
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,5,565–707 Hz,0.000127,0.001903,11.490464,630.243251,0.0,629.212501
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,6,707–880 Hz,0.000166,0.001696,9.193727,787.73922,0.0,786.014646
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,7,880–1130 Hz,0.000331,0.002071,7.683569,1011.455777,0.0,1010.668727
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,8,1130–1414 Hz,0.000295,0.002048,7.287806,1246.447381,0.0,1245.301791
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,9,1414–1760 Hz,0.000638,0.0035,6.601764,1591.919133,1e-06,1589.744729
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,10,1760–2220 Hz,0.0007,0.003529,6.08339,1983.414514,1e-06,1980.534117
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,11,10–1000 Hz,0.001021,0.023538,15.250651,241.647882,1e-06,157.000707
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,12,10–2000 Hz,0.001303,0.030497,14.95203,539.153809,1e-06,398.742983
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,13,500–1500 Hz,0.000582,0.007506,12.153692,915.221001,1e-06,886.696098
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,14,1000–2000 Hz,0.000761,0.006506,8.73347,1518.845391,1e-06,1512.893582
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,0,176–225 Hz,0.000145,0.003358,14.4442,205.118042,0.0,204.144596
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,1,225–283 Hz,0.000174,0.003566,14.765818,251.001046,0.0,249.386188
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,2,283–353 Hz,0.000141,0.003008,13.939459,316.702882,0.0,318.023203
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,3,353–440 Hz,0.000156,0.003175,13.076211,395.848524,0.0,392.209376
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,4,440–565 Hz,0.000176,0.003513,13.865946,505.034917,0.0,500.287815
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,5,565–707 Hz,0.000188,0.003249,13.076456,629.433873,0.0,628.136357
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,6,707–880 Hz,0.000248,0.003041,10.670455,786.49859,0.0,783.856814
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,7,880–1130 Hz,0.000515,0.003609,8.040728,1048.226243,1e-06,1042.835477
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,8,1130–1414 Hz,0.000479,0.003523,7.725628,1231.067629,1e-06,1227.940432
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,9,1414–1760 Hz,0.00085,0.005266,7.278174,1621.138005,2e-06,1620.01082
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,10,1760–2220 Hz,0.000947,0.005708,6.978879,1959.694103,2e-06,1951.660438
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,11,10–1000 Hz,0.00161,0.035099,14.557601,423.52989,1e-06,312.628436
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,12,10–2000 Hz,0.002248,0.0434,13.093237,853.569182,4e-06,700.835204
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,13,500–1500 Hz,0.000886,0.012103,12.229523,991.280693,2e-06,940.540612
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,14,1000–2000 Hz,0.001311,0.011276,8.818496,1600.858233,4e-06,1589.038121
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,0,176–225 Hz,0.000147,0.003265,13.581344,204.955541,0.0,203.727214
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,1,225–283 Hz,0.000181,0.003549,13.920226,251.180734,0.0,249.772344
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,2,283–353 Hz,0.000146,0.002995,13.495381,316.651319,0.0,318.082688
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,3,353–440 Hz,0.000159,0.003099,12.475089,395.531336,0.0,391.946892
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,4,440–565 Hz,0.000179,0.003337,13.097891,504.811478,0.0,499.789117
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,5,565–707 Hz,0.000192,0.00296,11.983071,629.708874,0.0,627.831168
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,6,707–880 Hz,0.000254,0.002917,10.184059,786.690778,0.0,783.857016
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,7,880–1130 Hz,0.00053,0.003677,8.146277,1044.785603,1e-06,1039.835919
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,8,1130–1414 Hz,0.000494,0.00371,7.729357,1229.47231,1e-06,1226.109602
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,9,1414–1760 Hz,0.000863,0.005387,7.247767,1622.095821,2e-06,1620.875361
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,10,1760–2220 Hz,0.000969,0.005747,6.905235,1958.972225,2e-06,1951.049221
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,11,10–1000 Hz,0.001655,0.036303,14.487474,401.000108,1e-06,294.466179
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,12,10–2000 Hz,0.002266,0.041453,12.465131,867.191113,5e-06,719.263055
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,13,500–1500 Hz,0.00088,0.012239,12.40189,963.983704,2e-06,920.267539
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,14,1000–2000 Hz,0.001362,0.011574,8.784679,1602.741053,4e-06,1590.991753
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,0,176–225 Hz,0.00014,0.002948,13.243041,204.863354,0.0,203.724469
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,1,225–283 Hz,0.000178,0.003351,13.535617,250.943233,0.0,249.876758
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,2,283–353 Hz,0.000147,0.002895,13.014039,317.018508,0.0,318.303623
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,3,353–440 Hz,0.000162,0.003126,12.222126,395.732899,0.0,391.983203
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,4,440–565 Hz,0.000183,0.003435,12.911916,504.972417,0.0,499.734718
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,5,565–707 Hz,0.000197,0.003249,12.421358,629.708874,0.0,627.735872
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,6,707–880 Hz,0.000258,0.003063,10.3507,786.659528,0.0,783.702088
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,7,880–1130 Hz,0.000537,0.003488,8.02098,1043.605911,1e-06,1039.684455
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,8,1130–1414 Hz,0.000502,0.003498,7.404652,1228.722307,1e-06,1225.361191
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,9,1414–1760 Hz,0.00087,0.005356,7.168418,1622.689574,2e-06,1621.933235
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,10,1760–2220 Hz,0.000981,0.005788,6.914395,1957.644094,2e-06,1949.750739
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,11,10–1000 Hz,0.001558,0.032969,13.951684,393.092263,1e-06,291.127687
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,12,10–2000 Hz,0.002158,0.036414,11.799668,879.247414,5e-06,736.155605
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,13,500–1500 Hz,0.000878,0.012605,12.631637,956.461798,2e-06,913.865131
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,14,1000–2000 Hz,0.001384,0.011499,8.70633,1604.991062,4e-06,1593.117794
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,0,176–225 Hz,0.000163,0.003797,14.761706,206.35711,0.0,204.962391
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,1,225–283 Hz,0.000185,0.003914,15.136063,250.83542,0.0,248.532068
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,2,283–353 Hz,0.000155,0.003389,14.076803,317.282572,0.0,318.234494
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,3,353–440 Hz,0.000167,0.003496,13.358449,397.704782,0.0,392.738145
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,4,440–565 Hz,0.000188,0.003923,14.330621,508.25368,0.0,503.016867
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,5,565–707 Hz,0.000203,0.003608,13.435257,630.038563,0.0,628.500325
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,6,707–880 Hz,0.000269,0.003379,10.821704,783.976704,0.0,782.629907
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,7,880–1130 Hz,0.000572,0.003971,7.819924,1065.546627,1e-06,1059.238582
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,8,1130–1414 Hz,0.000534,0.00385,7.811814,1226.092609,1e-06,1222.416881
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,9,1414–1760 Hz,0.000908,0.005813,7.445005,1642.70997,2e-06,1641.222604
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,10,1760–2220 Hz,0.001009,0.006224,7.07536,1935.192438,2e-06,1924.662271
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,11,10–1000 Hz,0.001743,0.035131,13.655616,472.017592,2e-06,390.795521
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,12,10–2000 Hz,0.002483,0.042979,12.181936,1005.283876,6e-06,842.900297
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,13,500–1500 Hz,0.000956,0.013119,12.182167,1063.199742,2e-06,996.861109
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,14,1000–2000 Hz,0.00141,0.012163,8.864517,1669.274143,5e-06,1652.650137
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,0,176–225 Hz,0.000151,0.003293,13.394598,205.17898,0.0,204.173821
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,1,225–283 Hz,0.000182,0.003559,13.783466,251.079171,0.0,249.48068
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,2,283–353 Hz,0.000149,0.003036,13.274145,317.179447,0.0,318.149704
