filename,sensor,filter_type,order,rms_mean,rms_std,peak_mean,peak_std,crest_factor_mean,crest_factor_std,zcr_mean,zcr_std
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,3,0.000517,0.000874,0.007687,0.019588,11.316283,9.013085,831.717945,545.461339
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,5,0.000474,0.000801,0.007107,0.018959,10.846323,8.611993,816.898612,545.760732
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Bessel,7,0.000429,0.000707,0.006117,0.016097,10.524483,8.371108,808.664828,546.739008
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,3,0.000672,0.00115,0.009526,0.022952,11.504054,9.260222,854.600123,547.152862
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,5,0.000685,0.001173,0.009481,0.022789,11.126991,8.91636,851.9848,547.218852
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Butterworth,7,0.000675,0.001133,0.008912,0.020708,10.953104,8.862969,851.756882,547.571026
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,0.00073,0.001255,0.009917,0.022774,11.530463,9.374796,878.251055,556.629035
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,0.00069,0.001183,0.009094,0.021111,10.9563,8.748109,865.342772,553.706442
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,0.000656,0.001095,0.008189,0.018029,10.750651,8.65954,861.243797,553.123947
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,0.000341,0.000535,0.004853,0.013333,9.472617,7.71501,779.797624,553.733465
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,0.000521,0.000877,0.007548,0.020933,10.20967,7.997495,808.020658,546.883523
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Chebyshev II,7,0.000585,0.000964,0.008004,0.02023,10.423134,8.195933,820.51144,544.256336
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Elliptical,3,0.000727,0.001251,0.009902,0.02302,11.465844,9.272095,876.337089,556.484909
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Elliptical,5,0.00069,0.001187,0.00929,0.022224,10.896153,8.654173,860.975671,553.271813
G80_8_3_0_AccAxial4507.wav,AccAxial4507,Elliptical,7,0.000671,0.001143,0.008818,0.021126,10.746705,8.619246,855.023458,552.675973
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Bessel,3,0.000592,0.000497,0.005377,0.007029,7.874236,3.634919,833.718407,536.586085
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Bessel,5,0.000542,0.000451,0.004805,0.006406,7.612358,3.788817,819.666615,540.469902
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Bessel,7,0.000505,0.000418,0.0043,0.005456,7.372912,3.421818,811.132446,543.602408
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Butterworth,3,0.00076,0.000648,0.006791,0.008166,8.089374,3.529681,860.07905,531.473011
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Butterworth,5,0.000774,0.000659,0.006629,0.007573,7.897577,3.555796,860.056384,532.071402
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Butterworth,7,0.00078,0.000663,0.006452,0.006917,7.782144,3.348311,861.111055,532.604282
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Chebyshev I,3,0.000829,0.000723,0.00715,0.008102,8.097812,3.410708,883.360214,532.109931
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Chebyshev I,5,0.000788,0.000687,0.006437,0.007108,7.732764,3.350612,872.196167,532.652492
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Chebyshev I,7,0.000769,0.000663,0.00605,0.006216,7.564866,3.122705,869.366022,532.74266
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Chebyshev II,3,0.000419,0.000359,0.003426,0.005375,6.513853,3.898182,781.65739,554.024046
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Chebyshev II,5,0.000596,0.000489,0.005144,0.007215,7.210864,3.753076,814.449794,541.177967
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Chebyshev II,7,0.000674,0.000549,0.005711,0.006822,7.449097,3.428272,828.099984,536.652781
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Elliptical,3,0.000825,0.000721,0.007136,0.008182,8.064349,3.405531,881.381272,531.944865
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Elliptical,5,0.000781,0.000681,0.006528,0.007383,7.754189,3.429491,868.851087,533.200571
G80_8_3_100_AccAxial4507.wav,AccAxial4507,Elliptical,7,0.000774,0.000675,0.006402,0.007144,7.69444,3.383388,867.123613,533.854881
