Filter Type,Order,SOS Sections,Ops/Sample (filtfilt),Mean Time/Window (ms),RMS Calc (μs),CF Calc (μs),RMS CV
Butterworth,3,3,54,6.624,829.33,1462.55,1.4854
Chebyshev I,3,3,54,6.945,755.95,1309.97,1.4933
Chebyshev II,3,3,54,7.031,762.81,1319.52,1.3602
Elliptical,3,3,54,7.064,913.13,1535.01,1.4959
Bessel,3,3,54,7.031,911.16,1544.74,1.4614
Butterworth,5,5,90,8.171,852.75,1470.55,1.4854
Chebyshev I,5,5,90,8.65,758.35,1303.14,1.488
Chebyshev II,5,5,90,8.667,875.09,1508.99,1.4538
Elliptical,5,5,90,8.527,900.68,1512.35,1.4955
Bessel,5,5,90,8.752,865.08,1479.38,1.4626
Butterworth,7,7,126,10.364,710.03,1249.98,1.4532
Chebyshev I,7,7,126,10.936,760.77,1318.46,1.4442
Chebyshev II,7,7,126,11.236,902.44,1520.88,1.424
Elliptical,7,7,126,10.938,906.45,1546.28,1.4764
Bessel,7,7,126,11.014,888.42,1506.15,1.4196
